Name,Artist,Popularity,Length,Release,Date_Added
Soma, The Strokes, 58, 2.57, 2001, 2023-12
Barely Legal, The Strokes, 58, 3.91, 2001, 2023-12
Alone Together, The Strokes, 55, 3.15, 2001, 2023-12
Last Nite, The Strokes, 78, 3.23, 2001, 2023-12
Hard To Explain, The Strokes, 66, 3.74, 2001, 2023-12
Trying Your Luck, The Strokes, 55, 3.38, 2001, 2023-12
Take It Or Leave It, The Strokes, 55, 3.27, 2001, 2023-12
I Could Have Lied, Red Hot Chili Peppers, 62, 4.07, 1991, 2023-12
Under the Bridge, Red Hot Chili Peppers, 86, 4.41, 1991, 2023-12
High and Dry, Radiohead, 80, 4.29, 1995, 2023-12
Fake Plastic Trees, Radiohead, 76, 4.85, 1995, 2023-12
Black Star, Radiohead, 72, 4.12, 1995, 2023-12
Lost, Frank Ocean, 86, 3.9, 2012, 2023-12
Burner on Deck (feat. Pop Smoke & Young Adz), Fredo, 53, 3.13, 2021, 2023-12
Funky Friday, Dave, 70, 3.05, 2018, 2023-12
What Ever Happened?, The Strokes, 67, 2.83, 2003, 2023-12
Reptilia, The Strokes, 79, 3.66, 2003, 2023-12
Automatic Stop, The Strokes, 65, 3.45, 2003, 2023-12
12:51, The Strokes, 71, 2.55, 2003, 2023-12
You Talk Way Too Much, The Strokes, 56, 3.1, 2003, 2023-12
Between Love & Hate, The Strokes, 55, 3.28, 2003, 2023-12
Meet Me in the Bathroom, The Strokes, 56, 2.94, 2003, 2023-12
Under Control, The Strokes, 60, 3.12, 2003, 2023-12
The Way It Is, The Strokes, 52, 2.36, 2003, 2023-12
The End Has No End, The Strokes, 57, 3.09, 2003, 2023-12
I Can't Win, The Strokes, 59, 2.7, 2003, 2023-12
First Love/Late Spring, Mitski, 82, 4.64, 2014, 2023-12
Umbrella, Rihanna, 87, 4.6, 2008, 2023-12
Triumph, J Hus, 50, 2.84, 2020, 2023-12
Superstition, Stevie Wonder, 70, 4.44, 1972, 2023-12
Knife Talk (with 21 Savage ft. Project Pat), Drake, 83, 4.05, 2021, 2023-12
Tea for Two, Albert Hammond Jr, 43, 4.14, 2018, 2023-12
Back to Basics, Fredo, 39, 3.29, 2021, 2023-12
Gang Gang (feat. JAY1 & Deno), KSI, 18, 2.73, 2021, 2023-12
Away & Anywhere, John Frusciante, 40, 4.1, 2001, 2023-12
Moments Have You, John Frusciante, 32, 3.49, 2001, 2023-12
Ride, Twenty One Pilots, 85, 3.58, 2015, 2023-12
Jimmy Cooks (feat. 21 Savage), Drake, 90, 3.64, 2022, 2023-12
Hymn for the Weekend, Coldplay, 86, 4.3, 2015, 2023-12
Adventure of a Lifetime, Coldplay, 84, 4.4, 2015, 2023-12
Creep, Radiohead, 90, 3.98, 1993, 2023-12
Million Miles of Water, Red Hot Chili Peppers, 45, 4.08, 2006, 2023-12
Strange Man, Red Hot Chili Peppers, 31, 3.61, 2012, 2023-12
Long Progression, Red Hot Chili Peppers, 32, 3.97, 2012, 2023-12
Dinner Guest (feat. MoStack), AJ Tracey, 0, 3.3, 2020, 2023-12
Feelings, Maroon 5, 19, 3.25, 2015, 2023-12
A Pearl, Mitski, 77, 2.6, 2018, 2023-12
The Getaway, Red Hot Chili Peppers, 61, 4.17, 2016, 2023-12
Dark Necessities, Red Hot Chili Peppers, 76, 5.03, 2016, 2023-12
The Longest Wave, Red Hot Chili Peppers, 62, 3.53, 2016, 2023-12
Goodbye Angels, Red Hot Chili Peppers, 63, 4.48, 2016, 2023-12
Sick Love, Red Hot Chili Peppers, 69, 3.69, 2016, 2023-12
Go Robot, Red Hot Chili Peppers, 62, 4.4, 2016, 2023-12
Feasting on the Flowers, Red Hot Chili Peppers, 53, 3.38, 2016, 2023-12
Detroit, Red Hot Chili Peppers, 49, 3.78, 2016, 2023-12
Encore, Red Hot Chili Peppers, 55, 4.25, 2016, 2023-12
Funny Face, Red Hot Chili Peppers, 40, 4.77, 2006, 2023-12
I'll Be Your Domino, Red Hot Chili Peppers, 33, 3.91, 2006, 2023-12
Summer, Calvin Harris, 85, 3.71, 2014, 2023-12
Talk, Coldplay, 67, 5.19, 2005, 2023-12
Psycho, Dave, 65, 4.15, 2019, 2023-12
Streatham, Dave, 68, 3.43, 2019, 2023-12
Disaster (feat. J Hus), Dave, 64, 4.0, 2019, 2023-12
Screwface Capital, Dave, 72, 4.22, 2019, 2023-12
Environment, Dave, 61, 3.38, 2019, 2023-12
Something Just Like This, The Chainsmokers, 89, 4.12, 2017, 2023-12
Out of Touch, Daryl Hall & John Oates, 70, 4.16, 2001, 2023-12
Money Talks (feat. Dave), Fredo, 63, 4.56, 2021, 2023-12
Tap Out, The Strokes, 57, 3.71, 2013, 2023-12
One Way Trigger, The Strokes, 60, 4.04, 2013, 2023-12
Welcome To Japan, The Strokes, 64, 3.85, 2013, 2023-12
50/50, The Strokes, 51, 2.72, 2013, 2023-12
Slow Animals, The Strokes, 50, 4.34, 2013, 2023-12
Partners In Crime, The Strokes, 50, 3.36, 2013, 2023-12
Chances, The Strokes, 58, 3.61, 2013, 2023-12
Happy Ending, The Strokes, 51, 2.87, 2013, 2023-12
Call It Fate Call It Karma, The Strokes, 74, 3.41, 2013, 2023-12
Black Summer, Red Hot Chili Peppers, 66, 3.87, 2022, 2023-12
Calm Like You, The Last Shadow Puppets, 0, 2.47, 2008, 2023-12
My Mistakes Were Made For You, The Last Shadow Puppets, 0, 3.11, 2008, 2023-12
Beautiful Mistakes (feat. Megan Thee Stallion), Maroon 5, 29, 3.79, 2021, 2023-12
Brianstorm, Arctic Monkeys, 0, 2.87, 2007, 2023-12
Nerve Flip, Red Hot Chili Peppers, 41, 3.1, 2022, 2023-12
Instant Crush (feat. Julian Casablancas), Daft Punk, 79, 5.63, 2013, 2023-12
Left & Right in the Dark, Julian Casablancas, 41, 4.91, 2009, 2023-12
11th Dimension, Julian Casablancas, 56, 4.06, 2009, 2023-12
Tequila, Dave, 60, 3.27, 2017, 2023-12
Obstacle 1, Interpol, 66, 4.19, 2002, 2023-12
Sweater Weather, The Neighbourhood, 93, 4.01, 2013, 2023-12
Bringing It Back, Digga D, 53, 3.18, 2021, 2023-12
Bitter Sweet Symphony - Remastered 2016, The Verve, 83, 5.95, 1997, 2023-12
Sonnet, The Verve, 66, 4.36, 1997, 2023-12
Soul to Squeeze, Red Hot Chili Peppers, 72, 4.83, 2003, 2023-12
Fortune Faded, Red Hot Chili Peppers, 63, 3.35, 2003, 2023-12
Save the Population, Red Hot Chili Peppers, 47, 4.09, 2003, 2023-12
Forever, Lewis Capaldi, 77, 3.51, 2019, 2023-12
Clash (feat. Stormzy), Dave, 65, 4.2, 2021, 2023-12
Treasure, Bruno Mars, 84, 2.98, 2012, 2023-12
When It Started, The Strokes, 37, 2.91, 2002, 2023-12
Sex on Fire, Kings of Leon, 85, 3.39, 2008, 2023-12
Bitter Taste, Billy Idol, 21, 4.45, 2021, 2023-12
Professor X, Dave, 0, 3.63, 2019, 2023-12
Moth To A Flame (with The Weeknd), Swedish House Mafia, 76, 3.9, 2022, 2023-12
Imagination, Foster The People, 72, 4.27, 2019, 2023-12
Hangman, Dave, 62, 3.91, 2018, 2023-12
Misery, Maroon 5, 38, 3.59, 2015, 2023-12
Summertime Sadness, Lana Del Rey, 71, 4.42, 2012, 2023-12
No Words, Dave, 65, 3.52, 2017, 2023-12
Crying Lightning, Arctic Monkeys, 2, 3.75, 2009, 2023-12
Cornerstone, Arctic Monkeys, 1, 3.3, 2009, 2023-12
On Time (with John Legend), Metro Boomin, 43, 2.82, 2022, 2023-12
2 + 2 = 5, Radiohead, 64, 3.32, 2003, 2023-12
Alien Crime Lord, The Voidz, 46, 4.42, 2020, 2023-12
Nude, Radiohead, 73, 4.26, 2007, 2023-12
Weird Fishes/ Arpeggi, Radiohead, 76, 5.3, 2007, 2023-12
All I Need, Radiohead, 75, 3.81, 2007, 2023-12
Reckoner, Radiohead, 69, 4.84, 2007, 2023-12
Jigsaw Falling Into Place, Radiohead, 79, 4.15, 2007, 2023-12
Factory of Faith, Red Hot Chili Peppers, 51, 4.33, 2011, 2023-12
Ethiopia, Red Hot Chili Peppers, 47, 3.85, 2011, 2023-12
Look Around, Red Hot Chili Peppers, 59, 3.47, 2011, 2023-12
The Adventures of Rain Dance Maggie, Red Hot Chili Peppers, 68, 4.71, 2011, 2023-12
Did I Let You Know, Red Hot Chili Peppers, 49, 4.36, 2011, 2023-12
Police Station, Red Hot Chili Peppers, 49, 5.6, 2011, 2023-12
Meet Me at the Corner, Red Hot Chili Peppers, 46, 4.36, 2011, 2023-12
Payphone, Maroon 5, 71, 3.86, 2021, 2023-12
This Love, Maroon 5, 86, 3.44, 2002, 2023-12
This Is the Kitt, Red Hot Chili Peppers, 34, 4.36, 2013, 2023-12
Leave It In My Dreams, The Voidz, 33, 3.99, 2018, 2023-12
Heat Waves, Glass Animals, 40, 3.98, 2020, 2023-12
Magpies on Fire, Red Hot Chili Peppers, 33, 3.74, 2012, 2023-12
(Don't Fear) The Reaper, Blue Öyster Cult, 78, 5.14, 1976, 2023-12
We're All Alone, Dave, 60, 4.67, 2021, 2023-12
Verdansk, Dave, 70, 3.04, 2021, 2023-12
System (feat. WizKid), Dave, 67, 3.03, 2021, 2023-12
Lazarus (feat. Boj), Dave, 63, 3.41, 2021, 2023-12
Both, Headie One, 62, 3.56, 2019, 2023-12
18HUNNA (feat. Dave), Headie One, 56, 3.16, 2019, 2023-12
Machu Picchu, The Strokes, 68, 3.49, 2011, 2023-12
Under Cover of Darkness, The Strokes, 70, 3.93, 2011, 2023-12
Two Kinds of Happiness, The Strokes, 48, 3.7, 2011, 2023-12
Taken for a Fool, The Strokes, 59, 3.39, 2011, 2023-12
Games, The Strokes, 48, 3.86, 2011, 2023-12
Call Me Back, The Strokes, 54, 3.03, 2011, 2023-12
Gratisfaction, The Strokes, 54, 2.99, 2011, 2023-12
Metabolism, The Strokes, 46, 3.01, 2011, 2023-12
Life Is Simple in the Moonlight, The Strokes, 59, 4.25, 2011, 2023-12
Roots, Imagine Dragons, 68, 2.91, 2015, 2023-12
Usual, Abra Cadabra, 37, 2.7, 2020, 2023-12
Begging Flexxing Stressing, Abra Cadabra, 48, 2.59, 2020, 2023-12
Revelations, Audioslave, 55, 4.2, 2006, 2023-12
Yellow, Coldplay, 94, 4.45, 2000, 2023-12
Paranoid Android, Radiohead, 73, 6.45, 1997, 2023-12
